code	title	ec
00072	Synthesis and degradation of ketone bodies	CG4311  CG10399  CG10932  CG9149  CG12068  CG13377  CG1140 
00100	Steroid biosynthesis	CG1998  CG11406  CG18301  CG6113  CG8823  CG8112 
00130	Ubiquinone and other terpenoid-quinone biosynthesis	CG9613  CG9249  CG11796  CG1461  CG7277  CG2453  CG14437  CG9249  CG13927  CG33544  CG13927  CG33544 
00190	Oxidative phosphorylation	CG10396  CG10664  CG12400  CG8844  CG9306  CG3192  CG5548  CG13240  CG9762  CG12859  CG10320  CG40002  CG40472  CG18624  CG9350  CG9160  CG6343  CG6020  CG3683  CG3621  CG6914  CG7712  CG6463  CG32230  CG15434  CG34439  CG5703  CG6485  CG11423  CG8102  CG9140  CG3944  CG2014  CG9172  CG8680  CG11455  CG12203  CG12079  CG11913  CG1970  CG2286  CG9065  CG3803  CG31648  CG10320  CG11423  CG11455  CG11913  CG12079  CG12203  CG12400  CG12859  CG13240  CG15434  CG18624  CG1970  CG2014  CG2286  CG3192  CG3214  CG32230  CG34439  CG3446  CG3621  CG3683  CG3944  CG40002  CG40472  CG5548  CG5703  CG6008  CG6020  CG6343  CG6463  CG6485  CG6914  CG7712  CG8102  CG8680  CG8844  CG9140  CG9160  CG9172  CG9306  CG9762  CG7181  CG2249  CG44296  CG18193  CG9603  CG14028  CG31644  CG10320  CG11423  CG11455  CG11913  CG12079  CG12203  CG12400  CG12859  CG13240  CG15434  CG18624  CG1970  CG2014  CG2286  CG3192  CG3214  CG32230  CG34439  CG3446  CG3621  CG3683  CG3944  CG40002  CG40472  CG5548  CG5703  CG6008  CG6020  CG6343  CG6463  CG6485  CG6914  CG7712  CG8102  CG8680  CG8844  CG9140  CG9160  CG9172  CG9306  CG9350  CG9762  CG14482  CG14508  CG17856  CG30354  CG3560  CG41623  CG4169  CG43206  CG4769  CG7361  CG7580  CG8764  CG10396  CG10664  CG11015  CG11043  CG14028  CG14077  CG14235  CG14724  CG17280  CG18193  CG2249  CG30093  CG31644  CG44296  CG7181  CG9603  CG1076  CG1088  CG11154  CG11589  CG12403  CG12602  CG1268  CG13167  CG14909  CG15719  CG1709  CG17332  CG17369  CG1746  CG18617  CG2934  CG2968  CG30329  CG31477  CG3161  CG32089  CG32090  CG3321  CG3612  CG3762  CG4307  CG4412  CG4624  CG4692  CG5075  CG5389  CG6030  CG6105  CG6213  CG6737  CG7007  CG7026  CG7211  CG7610  CG7625  CG7678  CG8029  CG8048  CG8186  CG8189  CG8210  CG8310  CG9013  CG9032  CG4634  CG6629  CG6666  CG10219  CG17246  CG5718  CG3283  CG7349  CG14482  CG43206  CG8764  CG7580  CG17856  CG3560  CG30354  CG41623  CG4169  CG14508  CG4769  CG7361  CG14235  CG14077  CG17280  CG30093  CG11015  CG11043  CG14724  CG5037  CG11154  CG5389  CG3612  CG7610  CG4307  CG2968  CG31477  CG9032  CG1746  CG8189  CG3321  CG4412  CG4692  CG6030  CG6105  CG7211  CG12403  CG3762  CG5075  CG17369  CG8048  CG13167  CG8186  CG8310  CG1088  CG1076  CG15719  CG8210  CG6213  CG17332  CG12602  CG1709  CG18617  CG30329  CG7678  CG2934  CG4624  CG11589  CG1268  CG14909  CG7625  CG8029  CG3161  CG32089  CG32090  CG6737  CG7007  CG7026  CG9013  CG6008  CG3214  CG3446  CG10219  CG17246  CG3283  CG5718  CG6629  CG6666  CG7349 
00220	Arginine biosynthesis	CG42708  CG1743  CG2718  CG1315  CG9510  CG18104  CG6465  CG6726  CG6738  CG6713  CG4434  CG5320  CG4233  CG8430  CG1640 
00230	Purine metabolism	CG5371  CG8975  CG18516  CG18519  CG18522  CG6045  CG7642  CG6767  CG10078  CG2867  CG31628  CG31628  CG31628  CG11089  CG3590  CG3989  CG3989  CG11337  CG34341  CG44007  CG10255  CG10564  CG1506  CG17174  CG17176  CG32301  CG32305  CG5712  CG5983  CG7978  CG9210  CG9533  CG10122  CG10582  CG10685  CG11246  CG1163  CG11979  CG12267  CG13418  CG13628  CG13773  CG1554  CG17209  CG18600  CG31155  CG3180  CG3284  CG33051  CG33785  CG34186  CG3756  CG4033  CG43662  CG43663  CG5147  CG5380  CG6840  CG7339  CG7885  CG8344  CG10489  CG11301  CG12018  CG13399  CG3975  CG5553  CG5923  CG5949  CG6349  CG6768  CG7108  CG31793  CG15547  CG2210  CG5310  CG8362  CG15547  CG2210  CG5310  CG8362  CG5371  CG8975  CG17146  CG3140  CG8816  CG3590  CG17273  CG32626  CG11883  CG30103  CG30104  CG32549  CG3362  CG42249  CG4827  CG11255  CG1851  CG3809  CG18315  CG11883  CG30103  CG30104  CG32549  CG3362  CG42249  CG4827  CG10143  CG11994  CG5998  CG9621  CG16758  CG18128  CG16758  CG18128  CG11883  CG30103  CG30104  CG32549  CG3362  CG42249  CG4827  CG10143  CG11994  CG32178  CG5992  CG5998  CG9345  CG9621  CG15547  CG2210  CG5310  CG8362  CG1799  CG9242  CG3059  CG5276  CG16758  CG18128  CG18516  CG18519  CG18522  CG6045  CG7642  CG11883  CG30103  CG30104  CG32549  CG3362  CG42249  CG4827  CG16758  CG18128  CG11883  CG30103  CG30104  CG32549  CG3362  CG42249  CG4827  CG11811  CG16758  CG18128  CG18143  CG6106  CG7171  CG30016  CG11900  CG3461  CG11337  CG15547  CG2210  CG5310  CG8362  CG11811  CG15547  CG2210  CG5310  CG8362  CG11883  CG30103  CG30104  CG32549  CG3362  CG42249  CG4827  CG16758  CG18128  CG10122  CG10582  CG10685  CG11246  CG1163  CG11979  CG12267  CG13418  CG13628  CG13773  CG1554  CG17209  CG18600  CG31155  CG3180  CG3284  CG33051  CG33785  CG34186  CG3756  CG4033  CG43662  CG43663  CG5147  CG5380  CG6840  CG7339  CG7885  CG8344  CG1470  CG14885  CG14886  CG1912  CG31183  CG3216  CG33114  CG34357  CG4154  CG10489  CG11301  CG12018  CG13399  CG3975  CG5553  CG5923  CG5949  CG6349  CG6768  CG7108  CG34341  CG42276  CG44007  CG8279  CG9296  CG8363  CG8363  CG18516  CG18519  CG18522  CG6045  CG7642  CG18516  CG18519  CG18522  CG6045  CG7642  CG9127  CG8891  CG8891  CG8891  CG31713  CG31713  CG8891  CG31713  CG10202  CG4098  CG16758  CG18128  CG17146  CG3140  CG8816  CG15547  CG2210  CG5310  CG8362  CG8891  CG10255  CG10564  CG1506  CG17174  CG17176  CG32301  CG32305  CG5712  CG5983  CG7978  CG9210  CG9533  CG11249  CG12229  CG2964  CG7069  CG7070  CG7362  CG11249  CG12229  CG2964  CG7069  CG7070  CG7362  CG18315  CG18315  CG3059  CG5276  CG11249  CG12229  CG2964  CG7069  CG7070  CG7362  CG11249  CG12229  CG2964  CG7069  CG7070  CG7362  CG10581  CG11089  CG32498  CG45019  CG10202  CG5165  CG8073  CG6612 
00232	Caffeine metabolism	CG18516  CG18519  CG18522  CG6045  CG7642  CG7171  CG18516  CG18519  CG18522  CG6045  CG7642  CG18516  CG18519  CG18522  CG6045  CG7642  CG18516  CG18519  CG18522  CG6045  CG7642 
00240	Pyrimidine metabolism	CG5371  CG8975  CG18572  CG18572  CG18572  CG3593  CG11337  CG10122  CG10582  CG10685  CG11246  CG1163  CG11979  CG12267  CG13418  CG13628  CG13773  CG1554  CG17209  CG18600  CG31155  CG3180  CG3284  CG33051  CG33785  CG34186  CG3756  CG4033  CG43662  CG43663  CG5147  CG5380  CG6840  CG7339  CG7885  CG8344  CG15547  CG2210  CG5310  CG8362  CG6092  CG45070  CG3059  CG5276  CG5537  CG4798  CG6364  CG11883  CG30103  CG30104  CG32549  CG3362  CG42249  CG4827  CG17224  CG3788  CG6330  CG2194  CG1411  CG3027  CG10122  CG10582  CG10685  CG11246  CG1163  CG11979  CG12267  CG13418  CG13628  CG13773  CG1554  CG17209  CG18600  CG31155  CG3180  CG3284  CG33051  CG33785  CG34186  CG3756  CG4033  CG43662  CG43663  CG5147  CG5380  CG6840  CG7339  CG7885  CG8344  CG11337  CG15547  CG2210  CG5310  CG8362  CG6092  CG4798  CG6364  CG11883  CG30103  CG30104  CG32549  CG3362  CG42249  CG4827  CG8349  CG8353  CG8360  CG5371  CG8975  CG15547  CG2210  CG5310  CG8362  CG10489  CG11301  CG12018  CG13399  CG3975  CG5553  CG5923  CG5949  CG6349  CG6768  CG7108  CG6092  CG11883  CG30103  CG30104  CG32549  CG3362  CG42249  CG4827  CG6951  CG15547  CG2210  CG5310  CG8362  CG5757  CG8349  CG8353  CG8360  CG16758  CG18128  CG3181  CG10489  CG11301  CG12018  CG13399  CG3975  CG5553  CG5923  CG5949  CG6349  CG6768  CG7108  CG15547  CG2210  CG5310  CG8362  CG5757  CG11883  CG30103  CG30104  CG32549  CG3362  CG42249  CG4827  CG2194  CG1411  CG3027  CG9741  CG2794  CG2794  CG3593  CG31713  CG17224  CG3788  CG6330  CG11883  CG30103  CG30104  CG32549  CG3362  CG42249  CG4827  CG15547  CG2210  CG5310  CG8362  CG4584 
00250	Alanine, aspartate and glutamate metabolism	CG8132  CG33486  CG4233  CG8430  CG12338  CG1315  CG17273  CG9510  CG3590  CG11241  CG3926  CG1640  CG18572  CG4685  CG9674  CG9674  CG4434  CG5320  CG7433  CG14994  CG7811  CG1743  CG2718  CG42708  CG18572  CG8132  CG6661  CG7145  CG12449  CG1345  CG10078  CG2867 
00260	Glycine, serine and threonine metabolism	CG9514  CG9629  CG3926  CG3926  CG6287  CG1753  CG5345  CG11899  CG6385  CG3705  CG3011  CG8129  CG10184  CG11236  CG5955  CG10361  CG3999  CG3017  CG13611  CG1236  CG6415  CG7430  CG6188  CG8129  CG10184  CG3926  CG1753  CG11241  CG3926  CG9886  CG1721  CG17645  CG7758 
